Movie_Name,Certificate,Duration,Year,Rating,Genre,Vote,Gross,Country,Language,Budget
Citizen Kane,PG,119,1941,8.3,"Drama, Mystery",361443,1585634,USA,English,839727
The Godfather,R,175,1972,9.2,"Crime, Drama",1430061,134966411,USA,English,6000000
The Wizard of Oz,PG,102,1939,8,"Adventure, Family, Fantasy",350414,2076020,USA,English,2800000
The Shawshank Redemption,R,142,1994,9.3,Drama,2083958,28341469,USA,English,25000000
Pulp Fiction,R,154,1994,8.9,"Crime, Drama",1628927,107928762,USA,English,8000000
Casablanca,PG,102,1942,8.5,"Drama, Romance, War",473421,1024560,USA,English,950000
The Third Man,Not Rated,93,1949,8.2,"Film-Noir, Mystery, Thriller",143227,449191,UK,English,0
Star Wars: Episode V - The Empire Strikes Back,PG,124,1980,8.7,"Action, Adventure, Fantasy",1045240,290475067,USA,English,18000000
Schindler's List,R,195,1993,8.9,"Biography, Drama, History",1080108,96067179,USA,English,22000000
Apocalypse Now,R,147,1979,8.5,"Drama, War",544811,83471511,USA,English,31500000
Goodfellas,R,146,1990,8.7,"Biography, Crime, Drama",899425,46836394,USA,English,25000000
Singin' in the Rain,G,103,1952,8.3,"Comedy, Musical, Romance",195243,8819028,USA,English,2540800
Psycho,R,109,1960,8.5,"Horror, Mystery, Thriller",533726,32000000,USA,English,806947
2001: A Space Odyssey,G,149,1968,8.3,"Adventure, Sci-Fi",538646,56954992,UK,English,12000000
Fight Club,R,139,1999,8.8,Drama,1666341,37030102,USA,English,63000000
Raging Bull,R,129,1980,8.2,"Biography, Drama, Sport",286355,23383987,USA,English,18000000
Taxi Driver,R,114,1976,8.3,"Crime, Drama",632313,28262574,USA,English,1300000
Seven Samurai,Not Rated,207,1954,8.7,"Adventure, Drama",281725,269061,Japan,Japanese,2000000
The 400 Blows,Not Rated,99,1959,8.1,"Crime, Drama",91753,509,France,French,0
12 Angry Men,Not Rated,96,1957,8.9,Drama,589712,4360000,USA,English,350000
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,PG,95,1964,8.4,Comedy,412510,275902,USA,English,1800000
Vertigo,PG,128,1958,8.3,"Mystery, Romance, Thriller",318174,3200000,USA,English,2479000
"The Good, the Bad and the Ugly",R,178,1966,8.9,Western,618604,6100000,Italy,Italian,1200000
City Lights,G,87,1931,8.5,"Comedy, Drama, Romance",145699,19181,USA,English,1500000
Gone with the Wind,Passed,238,1939,8.2,"Drama, History, Romance",262980,198676459,USA,English,3977000
On the Waterfront,Not Rated,108,1954,8.2,"Crime, Drama, Thriller",128214,9600000,USA,English,910000
The Godfather: Part II,R,202,1974,9,"Crime, Drama",993107,57300000,USA,English,13000000
The Dark Knight,PG-13,152,2008,9,"Action, Crime, Drama",2050478,534858444,USA,English,185000000
Blade Runner,R,117,1982,8.2,"Sci-Fi, Thriller",624007,27000000,USA,English,28000000
Star Wars: Episode IV - A New Hope,PG,121,1977,8.6,"Action, Adventure, Fantasy",1114635,322740140,USA,English,11000000
All About Eve,Not Rated,138,1950,8.3,Drama,107384,10177,USA,English,1400000
Raiders of the Lost Ark,PG,115,1981,8.5,"Action, Adventure",806672,248159971,USA,English,18000000
Back to the Future,PG,116,1985,8.5,"Adventure, Comedy, Sci-Fi",928241,210609762,USA,English,19000000
Lawrence of Arabia,Approved,216,1962,8.3,"Adventure, Biography, Drama",240526,44824144,UK,English,15000000
Jaws,PG,124,1975,8,"Adventure, Drama, Thriller",507465,260000000,USA,English,8000000
12 Years a Slave,R,134,2013,8.1,"Biography, Drama, History",573681,56671993,USA,English,20000000
The Apartment,Not Rated,125,1960,8.3,"Comedy, Drama, Romance",142591,18600000,USA,English,3000000
Chinatown,R,130,1974,8.2,"Drama, Mystery, Thriller",264585,29200000,USA,English,6000000
Some Like It Hot,Not Rated,121,1959,8.2,"Comedy, Romance",218926,25000000,USA,English,2883848
The Cabinet of Dr. Caligari,Not Rated,67,1920,8.1,"Fantasy, Horror, Mystery",49491,8811,Germany,None,18000
The Great Dictator,Passed,125,1940,8.5,"Comedy, Drama, War",179075,87339667,USA,English,2000000
The Lord of the Rings: The Fellowship of the Ring,PG-13,178,2001,8.8,"Adventure, Drama, Fantasy",1499348,315544750,New Zealand,English,93000000
Alien,R,117,1979,8.5,"Horror, Sci-Fi",708982,78900000,UK,English,11000000
The Searchers,Passed,119,1956,8,"Adventure, Drama, Western",72807,0,USA,English,3750000
Andrei Rublev,R,205,1966,8.2,"Biography, Drama, History",38494,102021,Soviet Union,Russian,15367
Spotlight,R,129,2015,8.1,"Crime, Drama",361838,45055776,USA,English,20000000
Once Upon a Time in the West,PG-13,165,1968,8.5,Western,269578,5321508,Italy,Italian,5000000
Moonlight,R,111,2016,7.4,Drama,225187,27850912,USA,English,1500000
Metropolis,Not Rated,153,1927,8.3,"Drama, Sci-Fi",142435,1236166,Germany,German,3422080
The Lord of the Rings: The Return of the King,PG-13,201,2003,8.9,"Adventure, Drama, Fantasy",1483296,377845905,New Zealand,English,94000000
Modern Times,G,87,1936,8.5,"Comedy, Drama, Family",188791,163245,USA,English,1500000
Aliens,R,137,1986,8.4,"Action, Adventure, Sci-Fi",597027,85160248,USA,English,18500000
It Happened One Night,Not Rated,105,1934,8.1,"Comedy, Romance",84336,4360000,USA,English,325000
Laura,Passed,88,1944,8,"Drama, Film-Noir, Mystery",38249,4360000,USA,English,1020000
Terminator 2: Judgment Day,R,137,1991,8.5,"Action, Sci-Fi",901636,204843350,USA,English,102000000
A Clockwork Orange,R,136,1971,8.3,"Crime, Drama, Sci-Fi",684637,26589355,UK,English,2200000
E.T. the Extra-Terrestrial,PG,115,1982,7.9,"Family, Sci-Fi",335259,435110554,USA,English,10500000
Nosferatu,Not Rated,81,1922,8,"Fantasy, Horror",80368,0,Germany,German,0
Snow White and the Seven Dwarfs,G,83,1937,7.6,"Animation, Family, Fantasy",163329,184925485,USA,English,2000000
The Battle of Algiers,Not Rated,121,1966,8.1,"Drama, War",46872,55908,Italy,French,800000
La Grande Illusion,Not Rated,113,1937,8.1,"Drama, War",30924,172885,France,French,0
North by Northwest,Not Rated,136,1959,8.3,"Adventure, Mystery, Thriller",270111,13275000,USA,English,3101000
Butch Cassidy and the Sundance Kid,PG,110,1969,8.1,"Biography, Crime, Drama",186381,102308889,USA,English,6000000
Repulsion,Not Rated,105,1965,7.8,"Drama, Horror, Thriller",43405,0,UK,English,300000
The Maltese Falcon,Not Rated,100,1941,8.1,"Film-Noir, Mystery",139829,2108060,USA,English,375000
Gravity,PG-13,91,2013,7.7,"Drama, Sci-Fi, Thriller",705719,274092705,UK,English,100000000
Sunset Blvd.,Not Rated,110,1950,8.4,"Drama, Film-Noir",177851,299645,USA,English,1752000
King Kong,Passed,100,1933,7.9,"Adventure, Horror, Sci-Fi",73378,10000000,USA,English,670000
Toy Story,G,81,1995,8.3,"Animation, Adventure, Comedy",786423,191796233,USA,English,30000000
Rear Window,PG,112,1954,8.5,"Mystery, Thriller",396091,36764313,USA,English,1000000
Rashômon,Not Rated,88,1950,8.3,"Crime, Drama, Mystery",133378,96568,Japan,Japanese,250000
The Adventures of Robin Hood,PG,102,1938,8,"Action, Adventure, Romance",43773,3981000,USA,English,1900000
A Hard Day's Night,G,87,1964,7.7,"Comedy, Music, Musical",36704,13780024,UK,English,560000
Bride of Frankenstein,Not Rated,75,1935,7.9,"Drama, Horror, Sci-Fi",38961,0,USA,English,397024
M,Not Rated,99,1931,8.3,"Crime, Mystery, Thriller",126665,28877,Germany,German,0
The Philadelphia Story,Not Rated,112,1940,8,"Comedy, Romance",58293,404524,USA,English,914000
The Treasure of the Sierra Madre,Passed,126,1948,8.2,"Adventure, Drama, Western",101694,5014000,USA,English,3000000
All Quiet on the Western Front,Not Rated,136,1930,8.1,"Drama, War",53253,3270000,USA,English,1448864
Bicycle Thieves,Not Rated,89,1948,8.3,Drama,126110,332930,Italy,Italian,133000
The Graduate,PG,106,1967,8,"Comedy, Drama, Romance",236981,104945305,USA,English,3000000
Army of Shadows,Not Rated,145,1969,8.2,"Drama, War",17800,741766,France,French,0
A Streetcar Named Desire,PG,122,1951,8,Drama,91193,8000000,USA,English,1800000
The Night of the Hunter,Not Rated,92,1955,8,"Crime, Drama, Film-Noir",74874,654000,USA,English,795000
One Flew Over the Cuckoo's Nest,R,133,1975,8.7,Drama,825987,112000000,USA,English,4400000
Rebecca,Not Rated,130,1940,8.1,"Drama, Mystery, Romance",110299,4360000,USA,English,1288000
Selma,PG-13,128,2014,7.5,"Biography, Drama, History",77262,52076908,UK,English,20000000
Rosemary's Baby,R,137,1968,8,"Drama, Horror",168868,0,USA,English,2300000
Frankenstein,Passed,70,1931,7.9,"Drama, Horror, Sci-Fi",58345,12000000,USA,English,291000
The General,Passed,67,1926,8.2,"Action, Adventure, Comedy",71370,0,USA,English,750000
The Conformist,R,113,1970,8.1,Drama,23176,58657,Italy,Italian,750000
Touch of Evil,PG-13,95,1958,8,"Crime, Drama, Film-Noir",92539,2237659,USA,English,829000
Annie Hall,PG,93,1977,8,"Comedy, Romance",235732,39200000,USA,English,4000000
It's a Wonderful Life,PG,130,1946,8.6,"Drama, Family, Fantasy",354712,0,USA,English,3180000
The Day the Earth Stood Still,G,92,1951,7.8,"Drama, Sci-Fi",71967,79366978,USA,English,1200000
The Hurt Locker,R,131,2008,7.6,"Drama, Thriller, War",390651,17017811,USA,English,15000000
L.A. Confidential,R,138,1997,8.3,"Crime, Drama, Mystery",491030,64616940,USA,English,35000000
Mad Max: Fury Road,R,120,2015,8.1,"Action, Adventure, Sci-Fi",774357,154058340,Australia,English,150000000
Pinocchio,G,88,1940,7.5,"Animation, Comedy, Family",115292,84254167,USA,English,2600000
The 39 Steps,Not Rated,86,1935,7.8,"Mystery, Thriller",46575,0,UK,English,67103
"Rome, Open City",Not Rated,103,1945,8.1,"Drama, Thriller, War",20330,0,Italy,Italian,0
Tokyo Story,Not Rated,136,1953,8.2,Drama,43408,0,Japan,Japanese,0
The Last Picture Show,R,118,1971,8.1,Drama,37587,29133000,USA,English,1300000
The Grapes of Wrath,Passed,129,1940,8.1,"Drama, History",80485,55000,USA,English,800000
To Kill a Mockingbird,Not Rated,129,1962,8.3,"Crime, Drama",270172,592237,USA,English,2000000
Mr. Smith Goes to Washington,Not Rated,129,1939,8.2,"Comedy, Drama",97766,9600000,USA,English,1500000
The Wages of Fear,Not Rated,131,1953,8.1,"Adventure, Drama, Thriller",47948,0,France,French,0
Patton,GP,172,1970,8,"Biography, Drama, War",87692,61700000,USA,English,12000000
Roman Holiday,Not Rated,118,1953,8.1,"Comedy, Romance",117075,0,USA,English,1500000
High Noon,PG,85,1952,8,"Action, Drama, Thriller",90170,9450000,USA,English,730000
Double Indemnity,Passed,107,1944,8.3,"Crime, Drama, Film-Noir",126781,5720000,USA,English,927262
Forrest Gump,PG-13,142,1994,8.8,"Drama, Romance",1597592,330252182,USA,English,55000000
The Silence of the Lambs,R,118,1991,8.6,"Crime, Drama, Thriller",1124638,130742922,USA,English,19000000
There Will Be Blood,R,158,2007,8.2,Drama,460875,40222514,USA,English,25000000
Die Hard,R,132,1988,8.2,"Action, Thriller",716482,83008852,USA,English,28000000
Fargo,R,98,1996,8.1,"Crime, Drama, Thriller",558626,24611975,USA,English,7000000
American Beauty,R,122,1999,8.4,Drama,985303,130096601,USA,English,15000000
The Matrix,R,136,1999,8.7,"Action, Sci-Fi",1496286,171479930,USA,English,63000000
The Bridge on the River Kwai,PG,161,1957,8.2,"Adventure, Drama, War",185354,44908000,UK,English,3000000
The Best Years of Our Lives,Approved,170,1946,8.1,"Drama, Romance, War",53060,23650000,USA,English,2100000
Roma,R,135,2018,7.8,Drama,103275,0,Mexico,English,15000000
White Heat,Not Rated,114,1949,8.2,"Action, Crime, Drama",24361,0,USA,English,1300000
The Sound of Music,G,172,1965,8,"Biography, Drama, Family",181805,163214286,USA,English,8200000
Inception,PG-13,148,2010,8.8,"Action, Adventure, Sci-Fi",1825884,292576195,USA,English,160000000
Bonnie and Clyde,R,111,1967,7.8,"Action, Biography, Crime",93630,0,USA,English,2500000
Midnight Cowboy,R,113,1969,7.9,Drama,89899,44785053,USA,English,3600000
Shane,Not Rated,118,1953,7.7,"Drama, Western",33394,20000000,USA,English,3100000
Intolerance: Love's Struggle Throughout the Ages,Passed,197,1916,7.9,"Drama, History",12736,2180000,USA,English,385907
Man on Wire,PG-13,94,2008,7.8,"Documentary, Biography",49166,2957978,UK,English,1118375
Battleship Potemkin,Not Rated,66,1925,8,"Drama, History",47952,50970,Soviet Union,Russian,0
Anatomy of a Murder,Not Rated,160,1959,8,"Crime, Drama, Mystery",53720,11900000,USA,English,0
The Leopard,PG,186,1963,8.1,"Drama, History",20023,0,Italy,Italian,1670711
The Lady Vanishes,Not Rated,96,1938,7.9,"Mystery, Thriller",42517,0,UK,English,3286230
Cool Hand Luke,GP,127,1967,8.1,"Crime, Drama",147841,0,USA,English,3200000
The Usual Suspects,R,106,1995,8.6,"Crime, Mystery, Thriller",901379,23341568,USA,English,6000000
The Shining,R,146,1980,8.4,"Drama, Horror",775209,44017374,UK,English,19000000
City of God,R,130,2002,8.6,"Crime, Drama",640545,7563397,Brazil,Portuguese,3300000
Heat,R,170,1995,8.2,"Crime, Drama, Thriller",521309,67436818,USA,English,60000000
Kind Hearts and Coronets,Not Rated,106,1949,8.1,"Comedy, Crime",31729,0,UK,English,0
The Big Lebowski,R,117,1998,8.1,"Comedy, Crime",659521,17498804,USA,English,15000000
La Dolce Vita,Not Rated,174,1960,8.1,"Comedy, Drama",58697,19516000,Italy,Italian,0
Fantasia,G,125,1940,7.8,"Animation, Family, Fantasy",81643,76408097,USA,English,2280000
No Country for Old Men,R,122,2007,8.1,"Crime, Drama, Thriller",762377,74283625,USA,English,25000000
This Is Spinal Tap,R,82,1984,8,"Comedy, Music",119818,188751,USA,English,2500000
Three Colors: Red,R,99,1994,8.1,"Drama, Mystery, Romance",79560,4043686,Switzerland,French,0
Good Will Hunting,R,126,1997,8.3,"Drama, Romance",761225,138433435,USA,English,10000000
8½,Not Rated,138,1963,8.1,Drama,99007,50690,Italy,Italian,0
La La Land,PG-13,128,2016,8,"Comedy, Drama, Music",431287,151101803,USA,English,30000000
West Side Story,Not Rated,153,1961,7.6,"Crime, Drama, Musical",87204,43656822,USA,English,6000000
The Deer Hunter,R,183,1978,8.1,"Drama, War",283003,48979328,USA,English,15000000
MASH,R,116,1970,7.6,"Comedy, Drama, War",63085,81600000,USA,English,3500000
Beauty and the Beast,G,84,1991,8,"Animation, Family, Fantasy",387030,218967620,USA,English,25000000
The Lives of Others,R,137,2006,8.4,"Drama, Thriller",320778,11286112,Germany,German,2000000
The Artist,PG-13,100,2011,7.9,"Comedy, Drama, Romance",216566,44671682,France,English,15000000
Whiplash,R,106,2014,8.5,"Drama, Music",609601,13092000,USA,English,3300000
The King's Speech,R,118,2010,8,"Biography, Drama, History",590877,138797449,UK,English,15000000
Invasion of the Body Snatchers,Not Rated,80,1956,7.8,"Drama, Horror, Sci-Fi",40472,24946533,USA,English,417000
Birdman or (The Unexpected Virtue of Ignorance),R,119,2014,7.7,"Comedy, Drama",515637,42340598,USA,English,18000000
Manchester by the Sea,R,137,2016,7.8,Drama,212725,47695120,USA,English,8500000
The Lord of the Rings: The Two Towers,PG,179,2002,8.7,"Adventure, Drama, Fantasy",1341152,342551365,New Zealand,English,94000000
Close Encounters of the Third Kind,PG,138,1977,7.7,"Drama, Sci-Fi",166511,132088635,USA,English,20000000
Brooklyn,PG-13,117,2015,7.5,"Drama, Romance",116315,38317535,UK,English,11000000
Million Dollar Baby,PG-13,132,2004,8.1,"Drama, Sport",583579,100492203,USA,English,30000000
Das Boot,R,149,1981,8.4,"Adventure, Drama, Thriller",208248,11487676,West Germany,German,14000000
Hell or High Water,R,102,2016,7.6,"Action, Crime, Drama",174714,26862450,USA,English,12000000
Ordinary People,R,124,1980,7.8,Drama,42016,54800000,USA,English,6000000
The Pianist,R,150,2002,8.5,"Biography, Drama, Music",637322,32572577,UK,English,35000000
Come and See,Not Rated,142,1985,8.2,"Drama, War",43050,0,Soviet Union,Belarusian,0
Cinema Paradiso,R,155,1988,8.5,Drama,199718,11990401,Italy,Italian,5000000
His Girl Friday,Passed,92,1940,8,"Comedy, Drama, Romance",48303,296000,USA,English,0
Harold and Maude,PG,91,1971,8,"Comedy, Drama, Romance",65037,0,USA,English,1200000
Witness for the Prosecution,Not Rated,116,1957,8.4,"Crime, Drama, Mystery",91023,8175000,USA,English,3000000
Paths of Glory,Not Rated,88,1957,8.4,"Drama, War",155186,0,USA,English,935000
Stand by Me,R,89,1986,8.1,"Adventure, Drama",331955,52287414,USA,English,8000000
Eternal Sunshine of the Spotless Mind,R,108,2004,8.3,"Drama, Romance, Sci-Fi",820082,34400301,USA,English,20000000
Amadeus,R,160,1984,8.3,"Biography, Drama, History",334670,51973029,USA,English,18000000
Oldeuboi,R,120,2003,8.4,"Action, Drama, Mystery",455429,707481,South Korea,Korean,3000000
The Lion King,G,88,1994,8.5,"Animation, Adventure, Drama",827863,312900000,USA,English,45000000
Boyhood,R,165,2014,7.9,Drama,314519,25379975,USA,English,4000000
Argo,R,120,2012,7.7,"Biography, Drama, Thriller",532519,136025503,USA,English,44500000
Thelma & Louise,R,130,1991,7.4,"Adventure, Crime, Drama",121408,45361000,USA,English,16500000
A Matter of Life and Death,PG,104,1946,8.1,"Comedy, Drama, Fantasy",17047,0,UK,English,357880
Manhattan,R,96,1979,8,"Comedy, Drama, Romance",121251,45700000,USA,English,9000000
The Life and Death of Colonel Blimp,Not Rated,163,1943,8.2,"Drama, Romance, War",11700,0,UK,English,223675
The Great Escape,Not Rated,172,1963,8.2,"Adventure, Drama, History",203985,12100000,USA,English,4000000
Spartacus,PG-13,197,1960,7.9,"Adventure, Biography, Drama",112702,30000000,USA,English,12000000
Monty Python and the Holy Grail,PG,91,1975,8.3,"Adventure, Comedy, Fantasy",458774,1229197,UK,English,256751
Brazil,R,132,1985,8,"Drama, Sci-Fi",174675,9929135,UK,English,15000000
Magnolia,R,188,1999,8,Drama,269092,22455976,USA,English,37000000
Tootsie,PG,116,1982,7.4,"Comedy, Drama, Romance",89018,177200000,USA,English,22000000
The Departed,R,151,2006,8.5,"Crime, Drama, Thriller",1068557,132384315,USA,English,90000000
Arrival,PG-13,116,2016,7.9,"Drama, Mystery, Sci-Fi",509154,100546139,USA,English,47000000
Casino Royale,PG-13,144,2006,8,"Action, Adventure, Thriller",537404,167445960,UK,English,150000000
When Harry Met Sally...,R,95,1989,7.6,"Comedy, Drama, Romance",176477,92823600,USA,English,16000000
Slumdog Millionaire,R,120,2008,8,"Drama, Romance",744109,141319928,UK,English,15000000
Blue Velvet,R,120,1986,7.8,"Drama, Mystery, Thriller",161813,8551228,USA,English,6000000
The King of Comedy,PG,109,1982,7.8,"Comedy, Crime, Drama",66947,2500000,USA,English,20000000
The Breakfast Club,R,97,1985,7.9,"Comedy, Drama",316901,45875171,USA,English,1000000
WALL·E,G,98,2008,8.4,"Animation, Adventure, Family",899664,223808164,USA,English,180000000
Inside Out,PG,95,2015,8.2,"Animation, Adventure, Comedy",531048,356461711,USA,English,175000000
Ferris Bueller's Day Off,PG-13,103,1986,7.8,Comedy,288094,70136369,USA,English,6000000
Easy Rider,R,95,1969,7.4,"Adventure, Drama",88091,41728598,USA,English,400000
Young Frankenstein,PG,106,1974,8,Comedy,132714,86300000,USA,English,2800000
Amélie,R,122,2001,8.3,"Comedy, Romance",648329,33225499,France,French,13094431
Se7en,R,127,1995,8.6,"Crime, Drama, Mystery",1277758,100125643,USA,English,33000000
All the President's Men,PG,138,1976,8,"Biography, Drama, History",91611,70600000,USA,English,8500000
Léon: The Professional,R,110,1994,8.6,"Action, Crime, Drama",918109,19501238,France,English,19556617
The Kid,Not Rated,68,1921,8.3,"Comedy, Drama, Family",95894,5450000,USA,English,250000
The Passion of Joan of Arc,Not Rated,114,1928,8.1,"Biography, Drama, History",40390,21877,France,French,6879460
Life Is Beautiful,PG-13,116,1997,8.6,"Comedy, Drama, Romance",548426,57598247,Italy,Italian,20000000
Rocky,PG,120,1976,8.1,"Drama, Sport",469791,117235247,USA,English,960000
Trainspotting,R,93,1996,8.2,Drama,586955,16501785,UK,English,3500000
Star Wars: Episode VI - Return of the Jedi,PG,131,1983,8.3,"Action, Adventure, Fantasy",856295,309125409,USA,English,32500000
The Gold Rush,Not Rated,95,1925,8.2,"Adventure, Comedy, Drama",89023,5450000,USA,English,923000
Unforgiven,R,130,1992,8.2,"Drama, Western",339152,101157447,USA,English,14400000
Memento,R,113,2000,8.5,"Mystery, Thriller",1025262,25544867,USA,English,9000000
Sunrise,Passed,94,1927,8.2,"Drama, Romance",43019,0,USA,English,0
Nashville,R,160,1975,7.8,"Comedy, Drama, Music",20948,9984123,USA,English,2200000
Duck Soup,Not Rated,68,1933,8,"Comedy, Musical, War",52114,0,USA,English,0
Sullivan's Travels,Not Rated,90,1941,8.1,"Adventure, Comedy, Drama",21601,0,USA,English,689665
Cabaret,PG,124,1972,7.8,"Drama, Musical",43194,42765000,USA,English,6000000
Network,R,121,1976,8.1,Drama,130345,23689877,USA,English,3800000
Saving Private Ryan,R,169,1998,8.6,"Drama, War",1101702,216540909,USA,English,70000000
The African Queen,PG,105,1951,7.9,"Adventure, Drama, Romance",66196,536118,USA,English,1000000
Who's Afraid of Virginia Woolf?,Not Rated,131,1966,8,Drama,63636,28000000,USA,English,7500000
Red River,Passed,133,1948,7.8,"Action, Adventure, Romance",25351,0,USA,English,3000000
In the Heat of the Night,Not Rated,110,1967,8,"Crime, Drama, Mystery",59992,24379978,USA,English,2000000
Dial M for Murder,PG,105,1954,8.2,"Crime, Thriller",139807,12562,USA,English,1400000
The Wild Bunch,R,135,1969,8,"Action, Adventure, Western",71851,638641,USA,English,6244087
Titanic,PG-13,194,1997,7.8,"Drama, Romance",950212,659325379,USA,English,200000000
A Night at the Opera,Passed,96,1935,8,"Comedy, Music, Musical",28508,0,USA,English,1057000
Platoon,R,120,1986,8.1,"Drama, War",349724,138530565,USA,English,6000000
Spirited Away,PG,125,2001,8.6,"Animation, Adventure, Family",552747,10055859,Japan,Japanese,19000000
Once Upon a Time in America,R,229,1984,8.4,"Crime, Drama",275368,5321508,USA,English,30000000
The Spirit of the Beehive,Not Rated,98,1973,8,"Drama, Fantasy",14934,0,Spain,Spanish,0
A Separation,PG-13,123,2011,8.3,"Drama, Thriller",194977,7098492,Iran,Persian,500000
Toy Story 3,G,103,2010,8.3,"Animation, Adventure, Comedy",676446,415004880,USA,English,200000000
Bringing Up Baby,Not Rated,102,1938,8,"Comedy, Family, Romance",50873,0,USA,English,1073000
The Sixth Sense,PG-13,107,1999,8.1,"Drama, Mystery, Thriller",840042,293506292,USA,English,40000000
Swing Time,Not Rated,103,1936,7.6,"Comedy, Musical, Romance",10919,0,USA,English,886000
The Conversation,PG,113,1974,7.9,"Drama, Mystery, Thriller",87109,4420000,USA,English,1600000
Sophie's Choice,R,150,1982,7.6,"Drama, Romance",36878,30036000,UK,English,12000000
The French Connection,R,104,1971,7.8,"Action, Crime, Drama",98961,51700000,USA,English,1800000
Do the Right Thing,R,120,1989,7.9,"Comedy, Drama",74396,27545445,USA,English,6500000
Yankee Doodle Dandy,Passed,126,1942,7.7,"Biography, Drama, Musical",12832,11800000,USA,English,0
Ben-Hur,G,212,1959,8.1,"Adventure, Drama, History",200586,74700000,USA,English,15900000
Rebel Without a Cause,PG-13,111,1955,7.8,Drama,75671,199963,USA,English,1500000
Almost Famous,R,122,2000,7.9,"Adventure, Comedy, Drama",234090,32534850,USA,English,60000000
Brokeback Mountain,R,134,2005,7.7,"Drama, Romance",298130,83043761,USA,English,14000000
Fitzcarraldo,PG,158,1982,8.1,"Adventure, Drama",27364,0,West Germany,German,7984852
The English Patient,R,162,1996,7.4,"Drama, Romance, War",165473,78651430,USA,English,27000000
